,name,price,code,actual_category
0,Transponder AIS Maré Magnum,33122.52,1,eletrônicos
1,Transponder Furuno Marlin,13998.15,2,eletrônicos
2,Radar Furuno Pulse Leviathan,9024.19,3,eletrônicos
3,Rádio AIS Hydro Tidal Zen,3381.88,4,eletrônicos
4,Piloto Automático Furuno Storm,23669.01,5,eletrônicos
5,Transponder AIS Vector,11820.21,6,eletrônicos
6,Radar AIS Zen,19518.77,7,eletrônicos
7,GPS AIS Zen,4984.15,8,eletrônicos
8,Transponder AIS Titan Pulse,39705.5,9,eletrônicos
9,Piloto Automático Simrad Titan Flux Magnum,32033.04,10,eletrônicos
10,GPS Furuno Swift Leviathan Poseidon,36231.91,11,eletrônicos
11,GPS AIS Drift Flux Vox,2726.18,12,eletrônicos
12,Radar Simrad Boost,7747.1,13,eletrônicos
13,Rádio Furuno Zen Swift,35811.08,14,eletrônicos
14,Radar Garmin Tidal Thrust,27899.76,15,eletrônicos
15,Sonda Garmin Axis,30005.99,16,eletrônicos
16,Rádio AIS Oceanic Pulse,14038.78,17,eletrônicos
17,Rádio Simrad Axis,26572.45,18,eletrônicos
18,Sonda Lowrance Tidal Storm Vox,16432.35,19,eletrônicos
19,Radar AIS Marlin,30833.44,20,eletrônicos
20,GPS AIS Nautic Thrust,8734.56,21,eletrônicos
21,Transponder Furuno Force Ion,39452.86,22,eletrônicos
22,Piloto Automático Furuno Torque Peak,11178.63,23,eletrônicos
23,GPS AIS Orca Marlin Velocity,23232.18,24,eletrônicos
24,Rádio Lowrance Nitro Thrust Barracuda,12126.46,25,eletrônicos
25,Piloto Automático Furuno Core Boost Flux,17283.18,26,eletrônicos
26,GPS Garmin Vortex Maré Drift,16511.45,27,eletrônicos
27,Piloto Automático AIS Core,14258.56,28,eletrônicos
28,Rádio Simrad Orca,36510.34,29,eletrônicos
29,Transponder AIS Boost,32247.87,30,eletrônicos
30,Transponder Furuno Pulse Axis,8283.11,31,eletrônicos
31,Sonda AIS Impulse Oceanic Zenith,12502.46,32,eletrônicos
32,Transponder Garmin Drift Vortex Marlin,6715.77,33,eletrônicos
33,Transponder AIS Helix Torque,4917.53,34,eletrônicos
34,Radar Furuno Swift,11005.53,35,eletrônicos
35,Radar Lowrance Aqua Pulse,22601.39,36,eletrônicos
36,GPS Lowrance Evo Storm Drift,6067.71,37,eletrônicos
38,Rádio AIS Force,26461.14,38,eletrônicos
39,GPS Furuno Vector,29632.83,39,eletrônicos
40,Sonda Furuno Maré Tidal,14184.04,40,eletrônicos
41,GPS Simrad Flow Pulse,10600.0,41,eletrônicos
42,Transponder Lowrance Axis,5992.84,42,eletrônicos
43,Sonda AIS Barracuda,35096.86,43,eletrônicos
44,GPS Simrad Zen Hydra Peak,10806.84,44,eletrônicos
45,GPS Furuno Current,9903.71,45,eletrônicos
46,Sonda AIS Magnum Boost,4983.77,46,eletrônicos
47,Rádio Simrad Tidal Aqua,6122.96,47,eletrônicos
48,GPS Furuno Magnum Drift,14736.35,48,eletrônicos
49,Sonda Furuno Swift,13264.25,49,eletrônicos
50,Piloto Automático Simrad Poseidon Magnum,11275.99,50,eletrônicos
51,Motor Diesel Tohatsu Evo Zenith 16HP,64158.99,51,propulsão
52,Motor Diesel Honda Zen Tidal Mako 26HP,13704.1,52,propulsão
53,Motor Elétrico Torqeedo Zen Titan Hydra 129HP,53675.01,53,propulsão
54,Motor de Popa Yamaha Evo Dash 155HP,121534.82,54,propulsão
55,Motor Diesel Volvo Flow Oceanic 259HP,109987.2,55,propulsão
56,Motor Elétrico Torqeedo Velocity Swift 74HP,42988.77,56,propulsão
57,Motor de Popa Honda Vector Kinetic 174HP,118790.57,57,propulsão
58,Motor de Popa Tohatsu Ion Core Nautic 53HP,108824.59,58,propulsão
59,Motor Diesel Yanmar Hydro Magnum Boost 267HP,87166.14,59,propulsão
60,Motor de Popa Honda Velocity Drift 258HP,108751.09,60,propulsão
61,Motor Diesel Honda Prime 84HP,28018.63,61,propulsão
62,Motor Diesel Yanmar Velocity 37HP,102221.97,62,propulsão
66,Motor Elétrico Torqeedo Ion Orca Vox 186HP,139957.67,63,propulsão
67,Motor Elétrico Yamaha Swift Drift Current 265HP,111505.55,64,propulsão
68,Motor de Popa Torqeedo Nautic Swift 223HP,25557.7,65,propulsão
69,Motor de Popa Tohatsu Poseidon Helix Prime 135HP,12571.63,66,propulsão
70,Motor de Popa Yamaha Mako 108HP,85789.05,67,propulsão
71,Motor de Popa Honda Ion Vox Prime 163HP,66897.1,68,propulsão
72,Motor de Popa Torqeedo Ultra Impulse 292HP,45265.02,69,propulsão
73,Motor Diesel Parsun Boost Helix Velocity 146HP,34355.43,70,propulsão
