,Unnamed: 0,id,id_client,id_product,qtd,total,sale_date,sale_date_dt
0,0,0,42,105,11,3405.0,2023-09-10,2023-09-10
1,1,1,3,136,9,16873.9,15-09-2024,2024-09-15
2,2,2,25,139,7,9475.3,2024-08-13,2024-08-13
3,3,4,20,23,5,55893.0,2023-02-03,2023-02-03
4,4,5,8,57,4,451403.9,2024-02-12,2024-02-12
5,5,6,36,52,3,39056.4,2023-09-26,2023-09-26
6,6,8,27,25,3,34560.05,2024-02-28,2024-02-28
7,7,9,37,26,7,114932.9,07-11-2023,2023-07-11
8,8,10,31,143,3,12643.55,2024-08-25,2024-08-25
9,9,11,39,128,5,23254.0,2023-05-07,2023-05-07
10,10,12,27,48,13,191573.0,29-07-2024,2024-07-29
11,11,13,43,19,2,31221.75,28-04-2024,2024-04-28
12,12,14,13,125,15,48479.45,06-05-2024,2024-06-05
13,13,15,17,14,3,102061.35,2023-10-14,2023-10-14
14,14,16,39,45,2,18816.65,07-10-2024,2024-07-10
15,15,17,43,91,11,1409558.7,2023-09-05,2023-09-05
16,16,18,25,27,3,47057.3,2024-11-28,2024-11-28
17,17,19,37,100,2,198740.0,2023-07-16,2023-07-16
18,18,20,39,56,12,490071.75,27-11-2024,2024-11-27
19,19,21,17,71,3,390522.0,04-12-2024,2024-04-12
20,20,22,29,20,2,61667.0,2024-11-04,2024-11-04
21,21,23,7,132,15,23445.0,04-02-2023,2023-04-02
22,22,24,45,128,12,55809.0,09-05-2023,2023-09-05
23,23,25,8,3,2,18048.0,04-02-2024,2024-04-02
24,24,26,19,147,14,40299.95,10-05-2024,2024-10-05
25,25,27,23,97,4,541340.0,15-04-2023,2023-04-15
26,26,28,41,60,12,1239762.35,2023-03-20,2023-03-20
27,27,29,26,109,7,4359.0,2024-03-24,2024-03-24
28,28,30,38,35,15,165083.0,2023-07-18,2023-07-18
29,29,31,41,91,13,1665842.1,2023-03-20,2023-03-20
30,30,32,43,40,11,156024.0,2023-11-02,2023-11-02
31,31,33,4,92,8,710833.0,26-07-2023,2023-07-26
32,32,34,28,73,3,429480.0,05-11-2023,2023-05-11
33,33,35,33,35,10,110055.0,02-04-2024,2024-02-04
34,34,36,18,136,7,13123.3,2023-11-24,2023-11-24
35,35,37,24,32,13,162532.0,2023-08-29,2023-08-29
36,36,38,38,87,9,601739.0,2024-04-30,2024-04-30
37,37,39,13,71,8,989322.4,2024-10-16,2024-10-16
38,38,40,27,116,5,12878.0,09-09-2023,2023-09-09
39,39,41,46,34,3,14753.0,04-06-2024,2024-04-06
40,40,42,1,6,12,141843.0,12-08-2023,2023-12-08
41,41,43,11,70,14,480976.0,10-08-2023,2023-10-08
42,42,44,39,81,8,928328.6,2024-12-03,2024-12-03
43,43,45,22,149,11,12160.0,12-09-2024,2024-12-09
44,44,46,25,120,5,15622.0,15-12-2023,2023-12-15
45,45,47,4,60,15,1631266.0,04-02-2024,2024-04-02
46,46,48,13,54,15,1823022.0,2024-05-30,2024-05-30
47,47,49,14,74,7,575614.5,2024-08-29,2024-08-29
48,48,50,8,19,15,246485.0,26-12-2023,2023-12-26
49,49,51,2,52,4,54816.0,2024-08-28,2024-08-28
50,50,52,45,106,13,57003.0,2024-03-16,2024-03-16
51,51,53,2,25,12,145518.0,2024-03-10,2024-03-10
52,52,54,27,144,4,8857.0,2024-09-30,2024-09-30
53,53,55,35,54,3,346373.8,2024-11-24,2024-11-24
54,54,56,1,125,13,44227.0,11-03-2024,2024-11-03
55,55,57,40,110,11,27451.0,17-07-2023,2023-07-17
56,56,58,46,45,2,19807.0,2024-08-22,2024-08-22
57,57,60,11,49,14,176415.0,20-03-2024,2024-03-20
58,58,61,28,56,8,326714.5,05-09-2024,2024-05-09
59,59,62,10,113,15,62627.8,18-05-2024,2024-05-18
60,60,63,43,42,15,85398.35,27-01-2024,2024-01-27
61,61,64,24,106,13,57003.0,2023-10-17,2023-10-17
62,62,65,21,4,7,22489.35,14-10-2024,2024-10-14
63,63,66,33,114,9,7194.0,12-10-2024,2024-12-10
64,64,67,18,85,3,109949.2,04-02-2024,2024-04-02
65,65,68,43,139,9,12824.0,2024-01-16,2024-01-16
66,66,69,34,139,8,11399.0,2023-09-18,2023-09-18
67,67,70,4,98,13,980110.25,13-08-2023,2023-08-13
68,68,71,43,70,5,163188.15,2023-09-09,2023-09-09
69,69,72,16,48,2,29473.0,10-08-2024,2024-10-08
70,70,73,24,10,3,91294.05,2024-12-20,2024-12-20
71,71,74,45,54,11,1270038.85,25-09-2024,2024-09-25
72,72,75,38,91,10,1348860.0,21-09-2024,2024-09-21
73,73,76,28,18,14,353413.3,2024-03-07,2024-03-07
74,74,77,6,110,2,4741.45,13-12-2024,2024-12-13
75,75,78,43,105,7,2167.0,2024-08-13,2024-08-13
76,76,79,10,12,13,35440.0,2024-12-31,2024-12-31
77,77,80,46,13,6,46483.0,06-03-2024,2024-06-03
78,78,81,28,82,10,490523.0,11-04-2024,2024-11-04
79,79,82,33,32,9,106895.9,11-07-2024,2024-11-07
